toolbox;magpie
Agave fibres nes;remaining
alfalfa;foddr
Almonds, with shell;others
Anise, badian, fennel, coriander;others
Apples;others
Apricots;others
Areca nuts;others
Artichokes;others
Asparagus;others
Avocados;others
Bambara beans;puls_pro
Bananas;cassav_sp
Barley;tece
Bastfibres, other;remaining
Beans, dry;puls_pro
Beans, green;others
beetfor;foddr
Berries nes;others
Blueberries;others
Brazil nuts, with shell;others
Broad beans, horse beans, dry;puls_pro
Buckwheat;tece
cabbagefor;foddr
Cabbages and other brassicas;others
Canary seed;tece
Carobs;others
carrotfor;foddr
Carrots and turnips;others
Cashew nuts, with shell;others
Cashewapple;others
Cassava;cassav_sp
Castor oil seed;rapeseed
Cauliflowers and broccoli;others
Cereals nes;tece
Cherries;others
Cherries, sour;others
Chestnut;others
Chick peas;puls_pro
Chicory roots;others
Chillies and peppers, dry;others
Chillies and peppers, green;others
Cinnamon (cannella);others
clover;foddr
Cloves;others
Cocoa, beans;others
Coconuts;rapeseed
Coffee, green;others
Coir;remaining
Cow peas, dry;puls_pro
Cranberries;others
Cucumbers and gherkins;others
Currants;others
Dates;others
Eggplants (aubergines);others
Fibre crops nes;remaining
Figs;others
Flax fibre and tow;remaining
Fonio;trce
fornes;foddr
Fruit, citrus nes;others
Fruit, fresh nes;others
Fruit, pome nes;others
Fruit, stone nes;others
Fruit, tropical fresh nes;others
Garlic;others
Ginger;others
Gooseberries;others
Grain, mixed;tece
Grapefruit (inc. pomelos);others
Grapes;others
grassnes;foddr
Groundnuts, with shell;groundnut
Gums, natural;remaining
Hazelnuts, with shell;others
Hemp tow waste;remaining
Hempseed;rapeseed
Hops;others
Jojoba seed;rapeseed
Jute;remaining
Kapok fruit;rapeseed
Karite nuts (sheanuts);rapeseed
Kiwi fruit;others
Kola nuts;others
Leeks, other alliaceous vegetables;others
legumenes;foddr
Lemons and limes;others
Lentils;puls_pro
Lettuce and chicory;others
Linseed;rapeseed
Lupins;puls_pro
Maize;maiz
Maize, green;others
maizefor;foddr
Mangoes, mangosteens, guavas;others
Manila fibre (abaca);remaining
Mate;others
Melons, other (inc.cantaloupes);others
Melonseed;rapeseed
Millet;trce
mixedgrass;foddr
Mushrooms and truffles;others
Mustard seed;rapeseed
Nutmeg, mace and cardamoms;others
Nuts nes;others
Oats;tece
Oil palm fruit;oilpalm
oilseedfor;foddr
Oilseeds nes;rapeseed
Okra;others
Olives;rapeseed
Onions, dry;others
Onions, shallots, green;others
Oranges;others
Papayas;others
Peaches and nectarines;others
Pears;others
Peas, dry;puls_pro
Peas, green;others
Pepper (piper spp.);others
Peppermint;others
Persimmons;others
Pigeon peas;puls_pro
Pineapples;others
Pistachios;others
Plantains and others;cassav_sp
Plums and sloes;others
popcorn;tece
Poppy seed;rapeseed
Potatoes;potato
Pulses nes;puls_pro
Pumpkins, squash and gourds;others
Pyrethrum, dried;remaining
Quinces;others
Quinoa;tece
Ramie;remaining
Rapeseed;rapeseed
Raspberries;others
Rice, paddy;rice_pro
Roots and tubers nes;cassav_sp
Rubber, natural;remaining
Rye;tece
ryefor;foddr
Safflower seed;rapeseed
Seed cotton;cottn_pro
Sesame seed;rapeseed
Sisal;remaining
Sorghum;trce
sorghumfor;foddr
Soybeans;soybean
Spices nes;others
Spinach;others
Strawberries;others
String beans;others
Sugar beet;sugr_beet
Sugar cane;sugr_cane
Sugar crops nes;remaining
Sunflower seed;sunflower
swedefor;foddr
Sweet potatoes;cassav_sp
Tallowtree seed;rapeseed
Tangerines, mandarins, clementines, satsumas;others
Taro (cocoyam);cassav_sp
Tea;others
Tobacco, unmanufactured;remaining
Tomatoes;others
Triticale;tece
Tung nuts;rapeseed
turnipfor;foddr
Vanilla;others
Vegetables, fresh nes;others
Vegetables, leguminous nes;others
vegfor;foddr
Vetches;puls_pro
Walnuts, with shell;others
Watermelons;others
Wheat;tece
Yams;cassav_sp
Yautia (cocoyam);cassav_sp
